Biomarker,Document IDs,Activity Context Summary,Effect Summary,Sport Implications,Relevance for Sports (1–10),Biomarker Groups,Occurrences in Dataset
Serum Magnesium,27814707,No athlete or exercise context reported. The study investigated serum magnesium levels in Ethiopian children (aged 6-59 months) recovering from severe acute malnutrition (SAM) during nutritional stabilization and treatment with therapeutic feeding formulas (F-75 and F-100).,"Serum magnesium levels in children with severe acute malnutrition were variable at admission, with a mix of low and high levels observed. At the start of treatment, adjusted mean S-magnesium was higher in children receiving diluted F-100 compared to F-75. Overall, serum magnesium significantly increased by 0.21 mmol/L during the course of treatment. By discharge, the majority (83%) of children exhibited serum magnesium levels above the normal range. A positive correlation between serum magnesium and serum albumin was also identified.","The provided findings describe serum magnesium dynamics within a specific population of children recovering from severe acute malnutrition, undergoing therapeutic nutritional intervention. There is no athletic context, exercise intervention, or performance-related data presented. Therefore, these specific findings do not directly support an athletic interpretation regarding training stress, adaptation, performance, or recovery in athletes. While magnesium is physiologically important for muscle and nerve function, and overall metabolic health crucial for athletes, this study's context prevents direct application or interpretation within sports medicine or exercise physiology.",1,"metabolic, glycemic",1
Serum Neurofilament Light Chain,37221052,"No athlete or exercise context reported. The study investigates sNfL levels in patients with neuromyelitis optica spectrum disorder (NMOSD) during disease attacks, post-attack disability worsening, and in response to inebilizumab treatment. It also examines sNfL levels at baseline in NMOSD and relapsing-remitting multiple sclerosis (RRMS) patients, and its correlation with disability measures and disease phases.","Serum neurofilament light chain (sNfL), a structural protein reflecting neuroaxonal damage, significantly increases during NMOSD attacks, with elevated levels persisting for over 7 days. Higher sNfL concentrations are strongly correlated with and predictive of post-attack disability worsening. Treatment with inebilizumab attenuated the elevation of sNfL during attacks and reduced overall sNfL levels over time, indicating a reduction in CNS damage.","The findings are solely within the context of neurological disease (neuromyelitis optica spectrum disorder) and its treatment. The study does not provide any information regarding sNfL levels in athletes, in response to exercise or training, or its relationship with training stress, adaptation, recovery, or athletic performance. Therefore, these findings do not support a sports-specific interpretation or implication.",1,cell_damage,1
Serum Phosphate,27814707,"No athlete or exercise context reported. The study investigated serum phosphate levels in Ethiopian children (6-59 months) recovering from severe acute malnutrition (SAM) treated with therapeutic diets (F-75, diluted F-100).","At admission, serum phosphate (S-phosphate) was low (mean 0.92 ± 0.34 mmol/L) with 93% of children below age-specific normal cut-offs. Age- and sex-adjusted mean S-phosphate at treatment start was higher in children fed diluted F-100 (1.13 mmol/L) compared to F-75 (0.95 mmol/L). S-phosphate increased by 0.49 mmol/L during treatment, reaching a mean of 1.38 ± 0.28 mmol/L at discharge, but remained subnormal in 51% of children. No significant difference was observed between diet groups at rehabilitation phase start or discharge. S-phosphate was positively correlated with serum albumin.","This study does not provide direct evidence for understanding training stress, adaptation, performance, or recovery in athletes. The population studied (malnourished children) and the intervention (therapeutic feeding for severe acute malnutrition) lack any athletic context. While phosphate is an essential mineral crucial for cellular energy metabolism (e.g., ATP production) and bone health, which are vital for athletic performance and adaptation, the specific findings regarding hypophosphatemia and its management in this non-athletic, clinical population cannot be extrapolated to athletic populations or exercise physiology. The persistent low levels observed could hinder general recovery and growth in the studied population, but this impact cannot be directly translated to athletic performance or recovery dynamics.",1,metabolic,1
Serum Tau Protein,37221052,No athlete or exercise context reported. The study investigated serum tau (sTau) levels in patients with neuromyelitis optica spectrum disorder (NMOSD) during disease attacks and in response to treatment with inebilizumab.,"Serum Tau protein levels were found to increase significantly during NMOSD attacks (observed from the week before, on the day of, and the week following attacks). Treatment with inebilizumab was associated with attenuated biomarker elevations during attacks and reduced sTau levels over time in attack-free participants. sTau is understood to indicate neuronal and axonal damage, reflecting central nervous system (CNS) tissue injury. While associated with NMOSD attack severity, prediction of upcoming attacks, and long-term disability in NMOSD, sTau was not a significant predictor of upcoming attacks compared to sGFAP, nor as sensitive in predicting attacks or attack severity. Elevations did not occur independently of increased sGFAP.","Based on the provided data, there is no direct athletic or exercise context to draw implications regarding training stress, adaptation, performance, or recovery. The findings are specific to CNS damage in the context of neuromyelitis optica spectrum disorder, a neurological disease, and the response to a specific therapeutic intervention for this condition. Therefore, these specific findings do not support athletic interpretation within the specified domains of sports medicine and exercise physiology.",1,cell_damage,1
Serum Ubiquitin C-Terminal Hydrolase L1,37221052,"No athlete or exercise context reported. The study investigates serum UCHL1 levels in patients with neuromyelitis optica spectrum disorder (NMOSD), specifically during acute NMOSD attacks, at baseline, and in response to treatment with inebilizumab, evaluating its role as an indicator of Central Nervous System (CNS) damage.","Serum UCHL1 levels increased significantly during NMOSD attacks (week before, on day of, and week following attacks). Mean concentrations generally remained below 52 pg/mL. Levels were numerically lower after inebilizumab treatment in attack-free participants. sUCHL1 indicates neuronal damage in neurological diseases and is associated with NMOSD attack severity and long-term disability. It was not a significant predictor of upcoming attacks or as sensitive in predicting attack severity compared to other biomarkers like sGFAP, and its elevations did not occur independently of increased sGFAP.","The provided findings are entirely within a clinical context related to a neurological disorder (NMOSD) and its treatment. Serum UCHL1 is described as an indicator of Central Nervous System (CNS) damage and neuronal/axonal damage in this disease. There is no athletic or exercise context provided, and thus, these findings do not support any direct interpretation regarding training stress, adaptation, performance, or recovery in athletes. Its relevance to healthy athletic populations or exercise-induced CNS changes is not established by this document.",1,cell_damage,1
Sex,39193899,"No athlete or exercise context reported. This study focused on developing and validating DNA methylation-based predictive models for cognitive impairment and dementia (including AD and MCI) in various independent cohorts (EXTEND, EMIF-AD MBD, PPMI, ADNI, BASE-II) with age ranges primarily from 40-75 years and over 60 years. The models assessed cognitive status and dementia risk factors.","Sex was identified as a best-predicted dementia risk factor, showing high predictive capacity (AUROC = 1) by blood-derived DNA methylation data in specific cohorts (EXTEND, EMIF-AD MBD). This indicates a strong epigenetic association with this fundamental demographic factor, influencing cognitive health.","The findings are focused on predicting cognitive impairment and dementia in general populations, primarily older adults, using epigenetic markers. This study provides no direct information or insights relevant to understanding training stress, adaptation, athletic performance, or recovery in an athletic context. While sex is a fundamental biological variable that influences numerous physiological processes critical to sports, these specific findings do not contribute to sports-science monitoring or intervention strategies.",1,,1
Sex Hormone-Binding Globulin,"37603200, 39261323, 28737585","Activity contexts include a systematic review of soy protein/peptide supplementation in active individuals and athletes (engaged in various training types like high-intensity running and strength training), a longitudinal study of male and female physique athletes undergoing intense competition preparation (characterized by rigorous energy restriction and physical training) and subsequent recovery, and a comprehensive review of biomarkers for tracking athletic health, performance, and recovery across different training loads.","A meta-analysis indicated no significant effect of soy protein, soy foods, or isoflavone extracts on Sex Hormone-Binding Globulin (SHBG) levels. In physique athletes, SHBG levels significantly increased in both males and females during intense competition preparation involving energy restriction and physical training. During the subsequent recovery phase, SHBG levels decreased in male athletes but remained unchanged in female athletes. Generally, SHBG is noted to increase in response to exercise training. Increased SHBG, especially when coupled with decreased testosterone, may signify insufficient recovery. Low SHBG can also be indicative of an individual's chronic diet.","Monitoring Sex Hormone-Binding Globulin (SHBG) is highly relevant for understanding training stress, adaptation, performance, and recovery in athletes. Elevated SHBG levels, particularly when accompanied by reduced testosterone, serve as a critical indicator of significant physiological stress, under-recovery, or potential overtraining, which can hinder anabolic processes, muscle repair, and strength adaptation by reducing the bioavailability of free sex hormones. In physique athletes, the observed increase in SHBG during intense competition preparation highlights its utility as a marker of severe energy restriction and training stress. The subsequent decrease in SHBG during recovery in male athletes suggests a positive endocrine adaptation towards improved sex hormone bioavailability post-stress. Athletes exhibiting increased SHBG and decreased testosterone may be experiencing insufficient recovery, warranting adjustments in training load, nutrition, or recovery strategies to prevent overtraining syndrome and optimize performance. Low SHBG, potentially linked to an athlete's chronic diet, could also be a factor in their capacity to adapt to training. Conversely, soy protein supplementation does not appear to significantly alter SHBG levels, indicating it does not impact sex hormone bioavailability via this specific mechanism.",9,endocrine_response,3
Sex Hormones,23547564,No athlete or exercise context reported. The study investigates early spironolactone therapy in patients with pulmonary arterial hypertension (PAH) without right ventricular failure.,"In patients with pulmonary arterial hypertension (PAH) receiving spironolactone therapy, sex hormone metabolism is anticipated to change, though specific quantitative changes are not yet reported as this is a study protocol.","This study focuses on a patient population with a specific medical condition (pulmonary arterial hypertension) undergoing therapeutic intervention (spironolactone). There is no athletic or exercise context provided, and the findings do not offer direct insights into training stress, adaptation, performance, or recovery in healthy athletes.",1,"endocrine_response, metabolic, inflammatory_changes",1
Short Form 36 Health Survey Dimensions Score,38902630,"The study involved Coronary Artery Disease (CAD) patients following percutaneous coronary intervention (PCI). The intervention was rehabilitation training (RT) or aerobic exercise therapy (ET) combined with routine health education and standard pharmacological treatment. ET consisted of 30-60 minutes of formal aerobic exercise (treadmill or upper body fluid resistance) 3-4 times per week, with a 5-10 minute warm-up. This represents a clinical population undergoing cardiac rehabilitation, not a healthy athletic population in a competitive training state.",The SF-36 dimensions score significantly increased (P < 0.05) post-intervention in the exercise intervention group compared to baseline and the control group. Higher scores indicate improved overall health status and quality of life across physical and mental domains.,"This biomarker, the SF-36, is a self-reported measure of general health status and quality of life across physical and mental dimensions. While general well-being and quality of life are foundational to an athlete's ability to train, recover, and perform, the SF-36 is a broad instrument. The findings from this study, conducted on cardiac rehabilitation patients, do not directly translate to monitoring specific training stress, adaptation, or performance markers in healthy athletic populations. It provides a general indication of perceived health but lacks the specificity required for granular athletic training load monitoring or performance diagnostics.",3,,1
Short-Chain Fatty Acid Producing Bacterial Species,39599728,"The activity context involves endurance athletes undergoing various precision sports nutrition strategies, including specific food consumption, supplement use (e.g., prebiotics, probiotics, dietary fiber), and macronutrient manipulations (e.g., carbohydrate-protein blends). These interventions are explored in conjunction with diverse exercise regimens such as cycling trials, marathons, ultra-endurance events, submaximal and prolonged exercise, and exercise under heat stress. The broader review highlights the need for better reporting of training status in future research.","An increased presence/abundance of Short-Chain Fatty Acid (SCFA) producing bacterial species was observed in stool samples. This increase was associated with exercise and dietary fiber consumption. These bacteria are critical for producing SCFAs, which support gut health and possess anti-inflammatory properties. A higher presence of these species indicates a healthier gut microbiome, potentially helping to mitigate mucosal inflammation (often referred to as 'leaky gut') and supporting the health of colonocytes.","The increased presence of SCFA-producing bacteria in response to exercise and dietary fiber consumption suggests a beneficial adaptation in the gut microbiome of endurance athletes. Given their role in producing anti-inflammatory SCFAs and maintaining gut barrier integrity, a robust population of these bacteria is crucial for optimizing recovery and physiological adaptation to the stresses of training. Intense and prolonged exercise can induce gut dysbiosis and inflammation; therefore, nutritional strategies that promote these beneficial species could reduce exercise-induced inflammation, support gut health, and contribute to enhanced recovery. Monitoring these bacteria could serve as a valuable diagnostic tool to assess gut health status and the effectiveness of nutritional interventions aimed at supporting an athlete's resilience and adaptation to training load. While the review notes that direct links to enhanced performance are still being robustly established, the implications for recovery, inflammation management, and overall physiological adaptation are significant.",8,"inflammatory_changes, metabolic",1
Short-Chain Fatty Acids,"39599728, 29534465","The studies involve endurance athletes and examine Short-Chain Fatty Acids (SCFA) in the context of precision sports nutrition, various 'omics' platforms, and wearable technologies. Nutritional interventions included polyphenols, astaxanthin, nitrates, carbohydrate-protein blends, probiotics, specific foods (e.g., banana, mango), macronutrient manipulations (e.g., low-carbohydrate high-fat diets, low/high FODMAP diets), and a 10-week protein blend supplementation (whey isolate and beef hydrolysate). These interventions were investigated alongside diverse exercise regimens, such as cycling trials, marathons, ultra-endurance events, submaximal and prolonged exercise, and exercise under heat stress. Specifically, plasma SCFA levels were assessed in response to low- and high-FODMAP diets during prolonged exercise under heat stress, and fecal SCFA levels were monitored after a 10-week protein supplementation regimen.","Plasma Short-Chain Fatty Acid (SCFA) levels showed varied responses when assessed as a marker in response to low- and high-FODMAP diets during prolonged exercise under heat stress. Fecal SCFA levels (including acetic acid, propionic acid, butyric acid, isobutyric acid, valeric acid, and isovaleric acid) did not change significantly within or between groups following a 10-week protein blend supplementation in endurance athletes.","Short-Chain Fatty Acids, as metabolites produced by gut bacteria, are important for host metabolism and gut health in athletes. Their varied response to specific dietary interventions (e.g., FODMAPs) during prolonged exercise under heat stress suggests they can reflect gut microbial activity and its impact on energy metabolism and intestinal integrity under training stress. However, the specific direction or magnitude of these changes requires further elucidation to draw firm conclusions regarding performance or recovery. The lack of change in fecal SCFA levels despite a 10-week protein supplementation, alongside shifts in some gut bacteria, indicates that this intervention did not alter the overall beneficial microbial metabolic output in terms of SCFA production. While SCFA levels provide insights into gut microbial function relevant to an athlete's metabolic health and potential recovery pathways, the current evidence, as noted, is often insufficient to robustly link observed SCFA changes directly to enhanced athletic performance, recovery, or long-term health outcomes.",7,metabolic,2
Short-Interval Intracortical Inhibition,38291890,"The research context is non-athletic, focusing on post-stroke individuals undergoing various cardiovascular exercise (CE) interventions for rehabilitation. Interventions included acute and chronic regimens of moderate-intensity continuous training (MICT), high-intensity interval training (HIIT), treadmill training, stepping, cycling, upper-limb ergometry, and multimodal exercise programs. Exercise intensity ranged from light to vigorous, with durations from single bouts of 5-30 minutes to chronic protocols lasting 4 weeks to 6 months. Some studies used graded exercise tests. The aim was to assess neuroplasticity and functional recovery post-stroke, not athletic performance or adaptation in healthy individuals.",Short-interval intracortical inhibition (SICI) in the ipsilesional hemisphere decreases following cardiovascular exercise interventions in post-stroke individuals. This reduction in SICI is associated with a decrease in excitability imbalances between hemispheres and improvements in recovery.,"This specific finding is derived from a rehabilitation context involving post-stroke individuals, not healthy athletes. Therefore, it does not directly inform training load, recovery, adaptation, or performance in a sports-specific context. The document itself highlights significant methodological limitations and a lack of consensus on optimal biomarkers for monitoring CE-induced neuroplasticity, further precluding direct athletic interpretation. While cortical excitability (which SICI reflects) can be relevant in motor learning and fatigue in athletes, this study's population, focus, and conclusions are strictly rehabilitative.",2,,1
Signal Transducer and Activator of Transcription 1,37343698,"This study involved 75 middle-aged adults undergoing acute symptom-limited treadmill exercise (Bruce protocol, up to 90% predicted peak heart rate) and a 20-week chronic aerobic exercise training program (three sessions/week, progressive intensity/duration). Plasma protein changes were monitored at baseline, peak acute exercise, and 1-hour post-exercise.",Plasma protein levels of Signal Transducer and Activator of Transcription 1-alpha/beta were altered at peak acute exercise. The specific direction or magnitude of change was not numerically quantified in the provided data.,"The findings indicate that Signal Transducer and Activator of Transcription 1 (STAT1) is an exercise-responsive protein in middle-aged adults. While exercise-responsive proteins can play roles in acute physiological responses to training and long-term adaptations, this specific finding in a non-athletic population and without further mechanistic detail regarding STAT1's role does not directly elucidate its utility for understanding training stress, adaptation, performance, or recovery in athletes. Its identification as a 'novel exercise-responsive protein' suggests potential involvement in exercise-induced physiological changes, but its direct sports-specific implications for performance diagnostics, training load monitoring, or recovery are not supported by the provided data.",3,inflammatory_changes,1
Signal Transducer and Activator of Transcription 3,"34595931, 32106527","One study investigated advanced heart failure patients undergoing Left Ventricular Assist Device (LVAD) support, assessing baseline myocardial STAT-3 activation in relation to subsequent cardiac structural and functional improvement. This context is clinical and does not involve athletes or exercise. The second study involved healthy young males performing muscle-damaging leg press exercise to volitional exhaustion, with or without palmitoylethanolamide (PEA) supplementation, measuring STAT3 phosphorylation in mononuclear cells as part of a recovery assessment following acute high-intensity resistance training.","In advanced heart failure patients, lower baseline myocardial STAT-3 activation was associated with a favorable response, including significant cardiac structural and functional improvement (reverse remodeling) following LVAD support. In healthy young males performing muscle-damaging leg press exercise, STAT3 phosphorylation levels in mononuclear cells were not significantly altered by the exercise protocol or PEA supplementation.","The finding related to advanced heart failure patients is in a clinical context of disease pathology and treatment, and thus does not directly provide insights into training stress, adaptation, or performance in healthy athletes. For the study involving acute muscle-damaging resistance exercise in healthy young males, the absence of significant changes in STAT3 phosphorylation in mononuclear cells suggests that STAT3, as measured in this specific tissue and context, may not be a sensitive or primary indicator of acute muscle damage or the subsequent inflammatory response and recovery processes following this type of resistance training. Therefore, based on these findings, the utility of STAT3 as a direct biomarker for monitoring training load, muscle damage, recovery, or adaptation in athletes is not clearly established.",3,inflammatory_changes,2
Signal Transducer and Activator of Transcription 5,32106527,"This study involved 28 healthy young males undertaking a muscle-damaging leg press exercise protocol (four sets at 80% 1-RM to volitional exhaustion, followed by a performance set at 70% 1-RM to maximal repetitions). Participants were randomized to receive either oral Palmitoylethanolamide (PEA, Levagen+™) or a placebo pre-exercise, immediately post-exercise, 24 h post-exercise, and 48 h post-exercise.","Phosphorylation levels of Signal Transducer and Activator of Transcription 5 (STAT5) in mononuclear cells remained unchanged, showing no main effects of time or treatment (PEA supplementation vs. placebo) following the muscle-damaging leg press exercise.","The lack of significant change in STAT5 phosphorylation levels in mononuclear cells suggests that this specific signaling pathway, as measured in this context, was not acutely perturbed or activated by the muscle-damaging resistance exercise protocol or modulated by PEA supplementation within the immediate 48-hour post-exercise recovery period. This indicates that STAT5 phosphorylation in mononuclear cells may not be a sensitive acute biomarker for monitoring training stress or recovery from this type of resistance exercise. Further research in other tissues, timeframes, or exercise modalities might reveal different responses, but for acute resistance exercise recovery, this finding suggests limited utility as a dynamic marker.",5,"inflammatory_changes, cell_damage",1
Single Amino Acid Alterations,36572751,"No athlete or exercise context reported. The study focused on proteogenomic profiling and comparative analysis of Acute Myeloid Leukemia (AML) samples from adult and pediatric patients at diagnosis, relapse, and primary resistance states.","Single Amino Acid Alterations (SAAAs) and specific mutated peptides (e.g., GDI2 p.R98H) were detected in AML cells from leukemic patient samples. A total of 14 SAAAs were detected, with specific mutations like GDI2 p.R98H confirmed by HiRIEF LC-MS and WES analysis.","The findings do not support athletic interpretation as they are exclusively focused on genetic alterations and proteomic signatures in Acute Myeloid Leukemia patients. There is no information presented that relates Single Amino Acid Alterations or the specific genetic mutations described to training stress, adaptation, performance, or recovery in healthy athletic populations.",1,,1
Single-Leg Stand Test,37256146,"No athlete or exercise context reported. This study was conducted in patients undergoing allogeneic stem-cell transplantation (alloSCT). The physical activity documented refers to self-reported daily activity (endurance and strength training) which significantly declined post-engraftment, coupled with supervised physiotherapy, all within a medical recovery context rather than an athletic training environment.","The Single-Leg Stand Test is utilized to evaluate static balance and postural control, with the test designed to measure the time an individual can maintain a single-leg stand for a maximum of 60 seconds. The provided document chunk does not specify the direction or magnitude of change for the Single-Leg Stand Test results in the studied patient population.","This finding is derived from a pilot study in patients undergoing allogeneic stem-cell transplantation, where the test was used to assess general coordination and balance for health monitoring and fall prevention. It does not provide data or context relevant to understanding training stress, adaptation, performance, or recovery in an athletic population. Therefore, no direct sport-specific implications can be drawn from this information.",2,,1
Sirtuin 1,"35192680, 38999962, 40715464","The provided studies investigate Sirtuin 1 (SIRT1) in the context of acute lymphoblastic leukemia (ALL) and diverse tumor types, focusing on its role in panobinostat drug sensitivity and mitochondrial activity. Another study examines SIRT1 protein expression in endometrial biopsies from women with unexplained euploid embryo transfer failure and suspected endometriosis, linking it to inflammatory responses. A third study explores SIRT1 mRNA abundance in breast cancer compared to healthy breast tissue, relating it to PPARγ regulation and cancer prognosis. No athlete or exercise context reported.","SIRT1's effects were observed as follows:
- In ALL cells, higher SIRT1 expression or overexpression significantly increased mitochondrial activity, enhanced sensitivity to the drug panobinostat, and promoted apoptosis. Conversely, reduced or disturbed SIRT1 expression decreased mitochondrial activity and conferred resistance to panobinostat, leading to reduced apoptosis. SIRT1 expression was negatively correlated with panobinostat IC50, indicating that higher expression is associated with greater drug sensitivity.
- In endometrial biopsies from women with unexplained embryo transfer failure and suspected endometriosis, SIRT1 protein was positively detected in the majority of cases (86.7%) and was noted to contribute to inflammatory responses.
- In breast tissue, SIRT1 mRNA abundance was found to be reduced in breast cancer samples compared to healthy women and showed an inverse correlation with PPARG abundance.","The provided findings are derived from studies focused on molecular mechanisms of cancer, drug sensitivity in cancer cells, and conditions related to female reproductive health (endometriosis and infertility). These findings do not directly provide an athletic context or support an athletic interpretation concerning training stress, adaptation, performance, or recovery in athletes. The research context is entirely non-athletic.",3,"metabolic, inflammatory_changes",3
Skeletal Muscle Enzymes,28737585,"This biomarker is reviewed in the context of comprehensive, individualized monitoring and management of athletic training, nutrition, hydration, and injury recovery in athletes. It is used to track muscle damage during various training loads, including acute exercise bouts, heavy strength training, and challenging training weeks, as well as during post-exercise recovery.",Skeletal muscle specific enzyme levels are observed to increase (implied) in response to muscle damage during exercise.,"Monitoring skeletal muscle specific enzymes provides a direct measure of muscle damage incurred during exercise, serving as a critical indicator of training stress. Elevated levels signify the need for adequate recovery to facilitate muscle repair and adaptation. This information is valuable for optimizing training load management, preventing excessive muscle damage that could lead to underrecovery or overtraining, and informing individualized recovery strategies to support performance and minimize injury risk in athletes.",9,"cell_damage, muscle_damage",1
Skeletal Muscle Troponin I,28737585,"This biomarker is reviewed in the context of biomarker-guided monitoring and management of athletic training, nutrition, hydration, and injury recovery. It is specifically used to track muscle damage during exercise across various training loads, including acute bouts, heavy strength training, and challenging training weeks, as well as after competition or injury, within an individualized athlete monitoring framework.","Skeletal muscle troponin I levels (implied to be in blood) increase, serving as a specific marker for tracking skeletal muscle damage during exercise.","Monitoring skeletal muscle troponin I provides a specific and quantitative measure of muscle damage incurred during exercise. This is highly relevant for assessing acute training stress and the physiological load on muscle tissue. Understanding the extent of muscle damage can help coaches and athletes individualize recovery protocols, optimize training periodization, prevent under-recovery, and potentially mitigate the risk of overtraining syndrome. It directly informs decisions related to training intensity, volume, and the need for specific recovery strategies to facilitate adaptation and enhance future performance.",9,"cell_damage, muscle_damage",1
Skin Temperature,33735213,"This study involved twenty-two professional male soccer athletes during a national championship season, participating in 19 matches over five months. Athletes played more than 60% of matches. Infrared thermography (IRT) was used to measure lower limb skin temperature 48 hours after each match in a controlled environment (23 ± 2°C). Concurrent measurements included performance data (GPS), creatine kinase (CK) levels, pain, fatigue, and recovery perception. Thermographic analysis focused on athletes reporting pain levels above 4 in either limb.","Lower limb skin temperature, measured by infrared thermography 48 hours post-match, showed asymmetries (differences of ≥ 1°C between contralateral limbs). However, no significant correlation (r < 0.2, p > 0.05) was observed between mean skin temperature and blood creatine kinase levels, pain level, perception of recovery, or fatigue perception in professional soccer athletes within this post-match period.","The findings suggest that lower limb skin temperature, as measured by infrared thermography 48 hours post-professional soccer matches, may have limited utility as a standalone biomarker for monitoring acute post-match muscle damage (creatine kinase), pain, fatigue, or perceived recovery. While skin temperature is traditionally considered for detecting inflammatory processes and aiding in muscle injury prevention, this study indicates it does not directly correlate with these common physiological and perceptual markers of training stress and recovery in this specific athletic context and timeframe. Therefore, practitioners should exercise caution when using skin temperature as a primary indicator for assessing post-match recovery or predicting under-recovery based on these parameters.",8,"inflammatory_changes, metabolic, muscle_damage",1
SkinBloodClock,34050697,"No athlete or exercise context reported. This was a large-scale observational study involving 5522 individuals across four cohorts, investigating associations between Clonal Hematopoiesis of Indeterminate Potential (CHIP) and epigenetic age acceleration (measured by SkinBloodClock among others) with clinical outcomes such as all-cause mortality and coronary heart disease. The study utilized Whole Genome Sequencing and DNA methylation arrays.","The SkinBloodClock, an epigenetic clock estimating biological age from whole blood, showed higher (accelerated aging) measurements in individuals with Clonal Hematopoiesis of Indeterminate Potential (CHIP). Specifically, CHIP was associated with 1.58 years of age acceleration (p < 2.5 x 10^-13) as measured by SkinBloodClock. This accelerated epigenetic age, particularly when combined with CHIP, identified a high-risk population for all-cause mortality and coronary heart disease.","The provided findings are derived from a large-scale observational study focused on disease risk and mortality in a general population. There is no athletic context, no intervention related to exercise, training, recovery, or performance. Therefore, these findings do not offer direct insights into understanding training stress, adaptation, performance, or recovery in athletes. While biological aging processes reflected by epigenetic clocks might theoretically influence an athlete's longevity or recovery capacity, this specific study does not provide the necessary athletic context for such an interpretation.",1,"cardio_risk, cell_damage",1
Sleep Patterns,33735108,The study develops and validates a deep learning model (GeroSense BAA) for assessing biological age acceleration using general physical activity data from wearable sensors. The specific mention of sleep patterns is in the context of acute illness (COVID-19) as a behavioral response. No athlete or exercise context reported.,"The study observed changes in sleep patterns, noting them as a potential indicator or signal of acute illness, specifically highlighted in the context of COVID-19.","While this study focuses on general health and illness detection, the finding that changes in sleep patterns can indicate acute illness is highly relevant for athlete health and performance management. Monitoring an athlete's sleep patterns can serve as an important, non-invasive diagnostic tool for early identification of emerging acute illnesses (e.g., viral infections like COVID-19). Prompt detection allows for timely training modification, implementation of appropriate recovery strategies, prevention of illness exacerbation, and mitigation of transmission within a training environment. This indirectly supports consistent training, long-term adaptation, and sustained performance by safeguarding athlete health.",7,,1
Slingshot Homolog 1,28161904,"No athlete or exercise context reported. The study investigated Slingshot Homolog 1 (SSHL1) and cofilin-1 in the context of pancreatic ductal adenocarcinoma (PDAC), including its overexpression in PDAC tissues, secretion from PDAC cells, and its role in cancer cell chemotaxis. Experiments involved PDAC patients, healthy volunteers, pancreatitis patients, and siRNA knockdown in PDAC cell lines.","Slingshot Homolog 1 (SSHL1) is a cofilin-phosphatase that reactivates cofilin-1, playing a role in actin dynamics and cell migration. In the context of pancreatic cancer cells, a loss of SSHL1 expression was observed to lead to increased phosphorylation of cofilin-1 at serine-3 and subsequently inhibited cell migration.","The provided findings describe the function of SSHL1 in actin dynamics and its role in cancer cell migration and progression. There is no athletic context or data linking SSHL1 to exercise-induced training stress, adaptation, performance metrics, or recovery processes in healthy individuals or athletes. Therefore, these findings do not support an athletic interpretation concerning training load, recovery, or performance.",1,,1
Slow Skeletal Troponin I,"39365635, 40110901","The findings report on two distinct contexts. One study investigated 4 weeks of inspiratory muscle training (IMT) in COVID-19 recovered patients after weaning from mechanical ventilation. The other study examined the effects of 10-minute volitional hyperpnea, equivalent to 85% of maximal minute ventilation, in healthy young men. Neither study specifically recruited elite or competitive athletes.","Slow skeletal troponin I (slow sTnI) was significantly lower in COVID-19 recovered patients after 2 and 4 weeks of inspiratory muscle training (IMT) compared to a control group. Conversely, in healthy young men, slow sTnI levels were significantly higher 24 hours after 10 minutes of volitional hyperpnea compared to a control trial.","Slow skeletal troponin I (slow sTnI) serves as a valuable biomarker for assessing damage to slow-twitch skeletal and respiratory muscle fibers. The observed elevation of slow sTnI following high-intensity volitional hyperpnea in healthy individuals indicates that strenuous respiratory muscle work, akin to that experienced during intense endurance exercise, can induce measurable respiratory muscle damage. This suggests that monitoring slow sTnI could be beneficial in understanding the training load and fatigue status of respiratory muscles in athletes, particularly those involved in sports requiring high ventilatory demands. While the first study's population is clinical, the reduction in slow sTnI post-IMT suggests that targeted inspiratory muscle training can facilitate respiratory muscle recovery and reduce muscle damage. This finding has implications for athlete recovery and adaptation strategies, supporting the use of IMT to enhance respiratory muscle health, potentially mitigating performance decrements due to respiratory muscle fatigue and promoting overall training adaptation.",8,"cell_damage, muscle_damage",2
Smad2/3,30714667,"No athlete or exercise context reported. The findings are derived from studies focused on pathological cardiac fibrosis in the context of heart failure, including pressure overload-related fibrosis and chronic fibrotic responses.","Smad2/3 protein activation is observed to be higher in cardiac tissue, mediated by the TGF-β pathway, in contexts of pressure overload-related and chronic fibrotic responses. No specific quantification of this activation is provided.","The findings are solely within the context of pathological cardiac fibrosis in heart failure and do not provide an athletic interpretation regarding training stress, adaptation, performance, or recovery in healthy athletes. There is no information to suggest how Smad2/3 might be modulated by exercise training, impact athletic performance, or reflect recovery status.",1,"cell_damage, muscle_damage",1
